股票代號,股票名稱,日期,收盤價,漲跌幅(%),成交量（股）,成交金額（元）,MACD狀態,出量,站上60日均,5日均價,10日均價,20日均價,60日均價,5日均斜率(%),10日均斜率(%),20日均斜率(%)
4736,泰博,2026-04-17,125.5,-0.5,141704,17736224,,否,是,125.5,125.5,125.5,125.5,0.0,0.0,0.0
4737,華廣,2026-04-17,67.0,-1.9,158356,10666336,紅縮,否,是,67.0,67.0,67.0,67.0,0.0,0.0,0.0
4739,康普,2026-04-17,90.4,1.0,2829763,253088052,,否,是,90.4,90.4,90.4,90.4,0.0,0.0,0.0
4746,台耀,2026-04-17,52.7,-0.9,578804,30644291,紅縮,否,是,52.7,52.7,52.7,52.7,0.0,0.0,0.0
4755,三福化,2026-04-17,151.5,8.0,1403754,212379968,綠縮,否,是,151.5,151.5,151.5,151.5,0.0,0.0,0.0
4763,材料*-KY,2026-04-17,47.15,-0.05,10689761,504433511,紅縮,否,是,47.15,47.15,47.15,47.15,0.0,0.0,0.0
4764,雙鍵,2026-04-17,212.5,19.0,1483104,308960471,,否,是,212.5,212.5,212.5,212.5,0.0,0.0,0.0
4766,南寶,2026-04-17,347.5,2.0,605265,211284505,,否,是,347.5,347.5,347.5,347.5,0.0,0.0,0.0
4770,上品,2026-04-17,230.5,3.0,406991,93770833,,否,是,230.5,230.5,230.5,230.5,0.0,0.0,0.0
4771,望隼,2026-04-17,196.0,0.5,368988,72682218,,否,是,196.0,196.0,196.0,196.0,0.0,0.0,0.0
4807,日成-KY,2026-04-17,15.4,0.4,85133,1296604,,否,是,15.4,15.4,15.4,15.4,0.0,0.0,0.0
4904,遠傳,2026-04-17,97.4,1.6,7918873,766644779,綠縮,否,是,97.4,97.4,97.4,97.4,0.0,0.0,0.0
4906,正文,2026-04-17,37.75,-1.3,27103289,1041477462,綠縮,否,是,37.75,37.75,37.75,37.75,0.0,0.0,0.0
4912,聯德控股-KY,2026-04-17,89.8,-0.2,365067,32883813,紅縮,否,是,89.8,89.8,89.8,89.8,0.0,0.0,0.0
4915,致伸,2026-04-17,75.1,0.5,2685922,201527830,綠縮,否,是,75.1,75.1,75.1,75.1,0.0,0.0,0.0
4916,事欣科,2026-04-17,67.8,2.6,21622503,1463279686,綠縮,否,是,67.8,67.8,67.8,67.8,0.0,0.0,0.0
4919,新唐,2026-04-17,129.0,11.5,10417863,1343904327,綠縮,否,是,129.0,129.0,129.0,129.0,0.0,0.0,0.0
4927,泰鼎-KY,2026-04-17,50.1,2.5,18828876,930712978,綠縮,否,是,50.1,50.1,50.1,50.1,0.0,0.0,0.0
4930,燦星網,2026-04-17,19.2,0.0,65653,1257628,綠縮,否,是,19.2,19.2,19.2,19.2,0.0,0.0,0.0
4934,太極,2026-04-17,16.8,0.4,1199103,20128652,綠縮,否,是,16.8,16.8,16.8,16.8,0.0,0.0,0.0
4935,茂林-KY,2026-04-17,38.35,0.55,119958,4555644,紅縮,否,是,38.35,38.35,38.35,38.35,0.0,0.0,0.0
4938,和碩,2026-04-17,83.0,2.9,26603951,2205642105,紅縮,否,是,83.0,83.0,83.0,83.0,0.0,0.0,0.0
4942,嘉彰,2026-04-17,38.45,0.05,108672,4178832,綠縮,否,是,38.45,38.45,38.45,38.45,0.0,0.0,0.0
4943,康控-KY,2026-04-17,10.95,0.75,57482,624264,紅縮,否,是,10.95,10.95,10.95,10.95,0.0,0.0,0.0
4949,有成精密,2026-04-17,90.4,2.0,1515260,137611372,,否,是,90.4,90.4,90.4,90.4,0.0,0.0,0.0
4952,凌通,2026-04-17,42.5,0.3,383653,16396260,綠縮,否,是,42.5,42.5,42.5,42.5,0.0,0.0,0.0
4956,光鋐,2026-04-17,49.75,4.5,7117937,351494438,綠縮,否,是,49.75,49.75,49.75,49.75,0.0,0.0,0.0
4958,臻鼎-KY,2026-04-17,282.0,25.5,42796308,11734120392,綠縮,否,是,282.0,282.0,282.0,282.0,0.0,0.0,0.0
4960,誠美材,2026-04-17,33.85,3.0,75611791,2526233826,綠縮,否,是,33.85,33.85,33.85,33.85,0.0,0.0,0.0
4961,天鈺,2026-04-17,153.0,-3.0,1050734,161837787,,否,是,153.0,153.0,153.0,153.0,0.0,0.0,0.0
4967,十銓,2026-04-17,219.5,6.5,7204000,1579293606,,否,是,219.5,219.5,219.5,219.5,0.0,0.0,0.0
4968,立積,2026-04-17,112.0,1.5,1678994,188245684,綠縮,否,是,112.0,112.0,112.0,112.0,0.0,0.0,0.0
4976,佳凌,2026-04-17,30.2,0.3,711920,21513088,紅縮,否,是,30.2,30.2,30.2,30.2,0.0,0.0,0.0
4977,眾達-KY,2026-04-17,235.5,21.0,6034882,1403231562,綠縮,否,是,235.5,235.5,235.5,235.5,0.0,0.0,0.0
4989,榮科,2026-04-17,102.5,-2.5,6526902,670739441,,否,是,102.5,102.5,102.5,102.5,0.0,0.0,0.0
4994,傳奇,2026-04-17,100.5,1.2,15179,1525399,綠縮,否,是,100.5,100.5,100.5,100.5,0.0,0.0,0.0
4999,鑫禾,2026-04-17,21.1,0.3,126696,2655216,紅縮,否,是,21.1,21.1,21.1,21.1,0.0,0.0,0.0
5007,三星,2026-04-17,57.7,0.2,33571,1935602,綠縮,否,是,57.7,57.7,57.7,57.7,0.0,0.0,0.0
5203,訊連,2026-04-17,65.3,-0.3,206961,13540338,綠縮,否,是,65.3,65.3,65.3,65.3,0.0,0.0,0.0
5215,科嘉-KY,2026-04-17,38.35,0.1,36352,1393030,綠縮,否,是,38.35,38.35,38.35,38.35,0.0,0.0,0.0
5222,全訊,2026-04-17,144.5,13.0,4611697,659292177,,否,是,144.5,144.5,144.5,144.5,0.0,0.0,0.0
5225,東科-KY,2026-04-17,78.2,-0.3,276883,21628311,綠縮,否,是,78.2,78.2,78.2,78.2,0.0,0.0,0.0
5234,達興材料,2026-04-17,443.0,13.5,1248445,548124697,綠縮,否,是,443.0,443.0,443.0,443.0,0.0,0.0,0.0
5243,乙盛-KY,2026-04-17,124.0,2.0,1701748,207702795,綠縮,否,是,124.0,124.0,124.0,124.0,0.0,0.0,0.0
5244,弘凱,2026-04-17,46.2,4.2,4216354,194525785,,否,是,46.2,46.2,46.2,46.2,0.0,0.0,0.0
5258,虹堡,2026-04-17,52.0,1.4,1060280,54518730,綠縮,否,是,52.0,52.0,52.0,52.0,0.0,0.0,0.0
5269,祥碩,2026-04-17,1270.0,-20.0,1747732,2242080015,綠縮,否,是,1270.0,1270.0,1270.0,1270.0,0.0,0.0,0.0
5283,禾聯碩,2026-04-17,55.4,0.0,54853,3038264,,否,是,55.4,55.4,55.4,55.4,0.0,0.0,0.0
5284,jpp-KY,2026-04-17,318.5,1.5,1960077,634894156,綠縮,否,是,318.5,318.5,318.5,318.5,0.0,0.0,0.0
5285,界霖,2026-04-17,54.2,2.2,671582,36535136,綠縮,否,是,54.2,54.2,54.2,54.2,0.0,0.0,0.0
5288,豐祥-KY,2026-04-17,159.0,-2.0,351870,56121765,綠縮,否,是,159.0,159.0,159.0,159.0,0.0,0.0,0.0
5292,華懋,2026-04-17,230.5,3.0,316690,72847301,,否,是,230.5,230.5,230.5,230.5,0.0,0.0,0.0
5306,桂盟,2026-04-17,84.4,-1.1,177403,15032666,,否,是,84.4,84.4,84.4,84.4,0.0,0.0,0.0
5388,中磊,2026-04-17,82.2,-1.3,5254314,438150485,綠縮,否,是,82.2,82.2,82.2,82.2,0.0,0.0,0.0
5434,崇越,2026-04-17,417.0,-0.5,695746,289311084,綠縮,否,是,417.0,417.0,417.0,417.0,0.0,0.0,0.0
5469,瀚宇博,2026-04-17,94.4,2.7,10907910,1037979673,綠縮,否,是,94.4,94.4,94.4,94.4,0.0,0.0,0.0
5471,松翰,2026-04-17,41.2,-0.4,653073,27326212,綠縮,否,是,41.2,41.2,41.2,41.2,0.0,0.0,0.0
5484,慧友,2026-04-17,38.8,0.0,330419,12869973,綠縮,否,是,38.8,38.8,38.8,38.8,0.0,0.0,0.0
5515,建國,2026-04-17,41.2,-1.35,905965,37725249,綠縮,否,是,41.2,41.2,41.2,41.2,0.0,0.0,0.0
5519,隆大,2026-04-17,33.0,-0.45,1179299,39020274,綠縮,否,是,33.0,33.0,33.0,33.0,0.0,0.0,0.0
5521,工信,2026-04-17,12.3,-0.05,2682081,32797339,紅縮,否,是,12.3,12.3,12.3,12.3,0.0,0.0,0.0
5522,遠雄,2026-04-17,69.7,-0.8,823122,57453166,綠縮,否,是,69.7,69.7,69.7,69.7,0.0,0.0,0.0
5525,順天,2026-04-17,25.25,0.05,63065,1584098,綠縮,否,是,25.25,25.25,25.25,25.25,0.0,0.0,0.0
5531,鄉林,2026-04-17,8.83,-0.02,486106,4288533,紅縮,否,是,8.83,8.83,8.83,8.83,0.0,0.0,0.0
5533,皇鼎,2026-04-17,14.65,-0.1,326347,4750626,紅縮,否,是,14.65,14.65,14.65,14.65,0.0,0.0,0.0
5534,長虹,2026-04-17,79.0,-0.6,798644,63029124,綠縮,否,是,79.0,79.0,79.0,79.0,0.0,0.0,0.0
5538,東明-KY,2026-04-17,32.0,0.15,67000,2135174,綠縮,否,是,32.0,32.0,32.0,32.0,0.0,0.0,0.0
5546,永固-KY,2026-04-17,17.15,0.0,30000,515700,,否,是,17.15,17.15,17.15,17.15,0.0,0.0,0.0
5607,遠雄港,2026-04-17,48.15,-0.15,456756,22113739,綠縮,否,是,48.15,48.15,48.15,48.15,0.0,0.0,0.0
5608,四維航,2026-04-17,16.3,-0.1,751332,12319173,綠縮,否,是,16.3,16.3,16.3,16.3,0.0,0.0,0.0
5706,鳳凰,2026-04-17,52.7,-0.4,297661,15720018,綠縮,否,是,52.7,52.7,52.7,52.7,0.0,0.0,0.0
5871,中租-KY,2026-04-17,118.0,1.5,6782660,796600949,綠縮,否,是,118.0,118.0,118.0,118.0,0.0,0.0,0.0
5871A,中租-KY甲特,2026-04-17,102.0,0.0,51566,5259450,,否,是,102.0,102.0,102.0,102.0,0.0,0.0,0.0
5876,上海商銀,2026-04-17,39.85,0.1,6690269,265158418,,否,是,39.85,39.85,39.85,39.85,0.0,0.0,0.0
5880,合庫金,2026-04-17,23.9,0.0,14469607,343701045,綠縮,否,是,23.9,23.9,23.9,23.9,0.0,0.0,0.0
5906,台南-KY,2026-04-17,49.3,-0.2,3098,152767,綠縮,否,是,49.3,49.3,49.3,49.3,0.0,0.0,0.0
